,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15797,اباذر,122,1391,54098000.0,3,1.0,1.0,1.0,1,1,11
15798,اباذر,115,1400,59130000.0,2,1.0,1.0,1.0,3,3,11
15799,اباذر,66,1393,55303000.0,1,1.0,1.0,1.0,5,5,11
15800,اباذر,85,1381,43353000.0,2,1.0,1.0,1.0,5,5,11
15801,اباذر,94,1382,45372000.0,2,1.0,1.0,1.0,5,5,11
15802,اباذر,86,1384,41860000.0,1,1.0,0.0,1.0,1,5,11
15803,اباذر,82,1386,41463000.0,2,1.0,1.0,1.0,5,5,11
15804,اباذر,93,1388,48387000.0,2,1.0,1.0,1.0,3,5,11
15805,اباذر,95,1399,62105000.0,2,1.0,1.0,1.0,5,5,11
15806,اباذر,75,1382,36000000.0,2,0.0,1.0,1.0,4,4,11
15807,اباذر,137,1399,58394000.0,3,1.0,1.0,1.0,3,3,11
15808,اباذر,84,1385,40476000.0,2,1.0,1.0,1.0,5,5,11
15809,اباذر,123,1397,58537000.0,3,1.0,1.0,1.0,4,5,11
15810,اباذر,202,1390,51980000.0,2,1.0,1.0,1.0,3,3,11
15811,اباذر,84,1392,61905000.0,2,1.0,1.0,1.0,3,3,11
15812,اباذر,84,1397,61905000.0,2,1.0,1.0,1.0,4,5,11
15815,اباذر,120,1400,59167000.0,2,1.0,1.0,1.0,3,5,11
15816,اباذر,118,1392,50000000.0,3,1.0,1.0,1.0,2,2,11
15817,اباذر,48,1377,41667000.0,1,0.0,0.0,1.0,4,4,11
15818,اباذر,88,1400,61000000.0,2,1.0,1.0,1.0,5,5,11
15819,اباذر,125,1385,43600000.0,3,1.0,1.0,1.0,1,1,11
15820,اباذر,124,1388,49194000.0,3,1.0,1.0,1.0,5,5,11
15821,اباذر,116,1400,62069000.0,2,1.0,1.0,1.0,3,6,11
15822,اباذر,108,1400,54167000.0,2,1.0,1.0,1.0,1,5,11
15823,اباذر,70,1382,35000000.0,2,0.0,1.0,1.0,2,2,11
15825,اباذر,100,1395,50000000.0,2,1.0,1.0,1.0,1,1,11
15826,اباذر,82,1382,44573000.0,2,1.0,1.0,1.0,5,5,11
15827,اباذر,100,1394,48000000.0,2,1.0,1.0,1.0,4,4,11
15828,اباذر,100,1392,57000000.0,2,1.0,1.0,1.0,5,5,11
15829,اباذر,200,1384,44250000.0,5,1.0,1.0,1.0,1,1,11
15830,اباذر,57,1383,45614000.0,1,1.0,1.0,1.0,1,1,11
15831,اباذر,67,1394,56045000.0,1,1.0,1.0,1.0,4,4,11
15832,اباذر,198,1385,44444000.0,5,1.0,1.0,1.0,1,5,11
